Date	14/09/2022
Time	2:11 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

4.148297	0.131094
4.158317	0.131094
4.168337	0.130902
4.178357	0.130709
4.188377	0.130520
4.198397	0.130515
4.208417	0.130322
4.218437	0.130134
4.228457	0.130133
4.238477	0.129941
4.248497	0.129753
4.258517	0.129581
4.268537	0.129579
4.278557	0.129393
4.288577	0.129205
4.298597	0.129020
4.308617	0.129018
4.318637	0.128835
4.328657	0.128654
4.338677	0.128652
4.348697	0.128471
4.358717	0.128289
4.368737	0.128108
4.378758	0.128108
4.388778	0.127929
4.398798	0.127748
4.408818	0.127571
4.418838	0.127570
4.428858	0.127391
4.438878	0.127214
4.448898	0.127214
4.458918	0.127036
4.468938	0.126859
4.478958	0.126701
4.488978	0.126700
4.498998	0.126526
4.509018	0.126356
4.519038	0.126186
4.529058	0.126183
4.539078	0.126013
4.549098	0.125844
4.559118	0.125678
4.569138	0.125677
4.579158	0.125511
4.589178	0.125344
4.599198	0.125343
4.609218	0.125178
4.619238	0.125012
4.629259	0.124850
4.639279	0.124850
4.649299	0.124687
4.659319	0.124525
4.669339	0.124363
4.679359	0.124363
4.689379	0.124201
4.699399	0.124052
4.709419	0.124050
4.719439	0.123894
4.729459	0.123733
4.739479	0.123577
4.749499	0.123575
4.759519	0.123418
4.769539	0.123261
4.779559	0.123106
4.789579	0.123104
4.799599	0.122951
4.809619	0.122797
4.819639	0.122798
4.829659	0.122646
4.839679	0.122494
4.849699	0.122345
4.859719	0.122343
4.869739	0.122193
4.879760	0.122042
4.889780	0.121889
4.899800	0.121891
4.909820	0.121741
4.919840	0.121602
4.929860	0.121450
4.939880	0.121452
4.949900	0.121299
4.959920	0.121150
4.969940	0.121150
4.979960	0.121002
4.989980	0.120854
5.000000	0.120707
