Date	14/09/2022
Time	2:14 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

4.118236	4.844158
4.128257	4.844380
4.138277	4.844520
4.148297	4.844723
4.158317	4.844771
4.168337	4.844861
4.178357	4.845134
4.188377	4.845352
4.198397	4.845383
4.208417	4.845554
4.218437	4.845765
4.228457	4.845762
4.238477	4.845987
4.248497	4.846086
4.258517	4.846281
4.268537	4.846248
4.278557	4.846477
4.288577	4.846620
4.298597	4.846707
4.308617	4.846864
4.318637	4.847088
4.328657	4.847276
4.338677	4.847234
4.348697	4.847424
4.358717	4.847617
4.368737	4.847722
4.378758	4.847771
4.388778	4.847900
4.398798	4.848115
4.408818	4.848313
4.418838	4.848303
4.428858	4.848530
4.438878	4.848639
4.448898	4.848633
4.458918	4.848871
4.468938	4.848973
4.478958	4.849165
4.488978	4.849233
4.498998	4.849510
4.509018	4.849549
4.519038	4.849682
4.529058	4.849704
4.539078	4.849891
4.549098	4.850131
4.559118	4.850250
4.569138	4.850270
4.579158	4.850480
4.589178	4.850621
4.599198	4.850562
4.609218	4.850810
4.619238	4.850981
4.629259	4.851109
4.639279	4.851186
4.649299	4.851438
4.659319	4.851537
4.669339	4.851710
4.679359	4.851686
4.689379	4.851926
4.699399	4.852083
4.709419	4.852023
4.719439	4.852223
4.729459	4.852416
4.739479	4.852688
4.749499	4.852655
4.759519	4.852832
4.769539	4.852945
4.779559	4.853183
4.789579	4.853144
4.799599	4.853277
4.809619	4.853508
4.819639	4.853547
4.829659	4.853682
4.839679	4.853815
4.849699	4.853984
4.859719	4.853969
4.869739	4.854153
4.879760	4.854424
4.889780	4.854539
4.899800	4.854624
4.909820	4.854698
4.919840	4.854856
4.929860	4.855030
4.939880	4.855034
4.949900	4.855129
4.959920	4.855365
4.969940	4.855328
4.979960	4.855482
4.989980	4.855720
5.000000	4.855802
